Genus_silva	Genus_ehomd	n_asvs
Candidatus_Solibacter	Anaerovoracaceae [G2]	4
Caulobacter	Brevundimonas	4
Cellvibrio	Pseudomonas	4
Christensenellaceae_R-7_group	Anaerovoracaceae [G3]	4
Crossiella	Mycobacterium	4
Dechloromonas	Oryzomicrobium	4
EPR3968-O8a-Bc78	Pseudomonas	4
EV818SWSAP88	Moraxella	4
Facklamia	Abiotrophia	4
Family_XIII_AD3011_group	Anaerovoracaceae [G1]	4
Family_XIII_AD3011_group	Anaerovoracaceae [G3]	4
Faucicola	Moraxella	4
Fenollaria	Peptoniphilaceae [G3]	4
Gaiella	Lancefieldella	4
Gemmatimonas	Pseudoramibacter	4
Geobacillus	Anoxybacillus	4
Gilliamella	Aggregatibacter	4
JG30-KF-CM66	Clostridiales [F3 G1]	4
JTB23	Moraxella	4
KD4-96	Enterococcus	4
Kapabacteriales	Ignavibacterium	4
Lachnospiraceae_NC2004_group	Lachnospiraceae [G2]	4
Lachnospiraceae_ND3007_group	Butyrivibrio	4
Lachnospiraceae_NK4A136_group	Stomatobaculum	4
Lysobacter	Pseudomonas	4
MM2	Oryzomicrobium	4
Microbulbifer	Pseudomonas	4
Micromonospora	Kocuria	4
Muribaculaceae	Tannerella	4
Nevskia	Pseudomonas	4
Nitrococcus	Pseudomonas	4
P5D1-392	Enterococcus	4
Paenisporosarcina	Enterococcus	4
Pediococcus	Lentilactobacillus	4
Pedomicrobium	Afipia	4
Pelomonas	Leptothrix	4
Pontibacter	Flavitalea	4
Porticoccus	Pseudomonas	4
Prevotellaceae_UCG-003	Prevotella	4
Raoultella	Kluyvera	4
Rhodanobacter	Lautropia	4
Rhodomicrobium	Mesorhizobium	4
Rodentibacter	Aggregatibacter	4
S15-21	Pedobacter	4
SAR202_clade	Anaerovoracaceae [G3]	4
Saccharimonadaceae	Saccharimonadales [F3 G1]	4
Saccharofermentans	Ruminococcaceae [G3]	4
Shewanella	Serratia	4
Solibacillus	Lysinibacillus	4
Steroidobacter	Moraxella	4
Steroidobacter	Pseudomonas	4
Sulfurifustis	Pseudomonas	4
TM7a	Parvisynbacter	4
TM7x	Parvisynbacter	4
Taibaiella	Flavitalea	4
Tepidiphilus	Leptothrix	4
Terrisporobacter	Peptostreptococcus	4
Thermomonas	Stenotrophomonas	4
Tyzzerella	Agathobacter	4
Tyzzerella	Anaerovoracaceae [G3]	4
Vitellibacter	Capnocytophaga	4
Wolinella	Helicobacter	4
Zeaxanthinibacter	Capnocytophaga	4
bacteriap25	Haematobacter	4
mle1-7	Oryzomicrobium	4
uncultured	Anaerovoracaceae [G3]	4
uncultured	Caulobacter	4
uncultured	Desulfobulbus	4
uncultured	Desulfomicrobium	4
uncultured	Erysipelotrichaceae [G1]	4
uncultured	Olsenella	4
uncultured	Riemerella	4
uncultured	Schlegelella	4
211ds20	Pseudomonas	3
A0839	Caulobacter	3
AKAU4049	Aggregatibacter	3
AKAU4049	Desulfomicrobium	3
Acetobacter	Roseomonas	3
Acidaminococcus	Selenomonas	3
Actinomyces	Treponema	3
Aeromicrobium	Kocuria	3
Alysiella	Simonsiella	3
Amaricoccus	Haematobacter	3
Anaerovibrio	Mitsuokella	3
Bacteroides	Alloprevotella	3
Bacteroides	Prevotella	3
Bacteroidetes_vadinHA17	Pedobacter	3
Barnesiella	Odoribacteraceae [G7]	3
Bauldia	Aquamicrobium	3
Brachybacterium	Dermabacter	3
Butyricicoccus	Stomatobaculum	3
CCD24	Pseudomonas	3
