feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
Unclassified_f__Prevotellaceae	group	GERD	-0.424745575783833	0.414581604067363	26	3	0.315807755085674	0.906914482027349	Ziganshina_2020	GERD
g__Segatella	group	GERD	0.284268679222733	0.4403845685019	26	26	0.524726458184593	0.906914482027349	Ziganshina_2020	GERD
g__Prevotella	group	GERD	0.167160201186372	0.352774273060842	26	26	0.639892998654718	0.906914482027349	Ziganshina_2020	GERD
g__Cryptobacterium	group	GERD	0.115620894212987	0.421325833184146	26	5	0.786108984591082	0.914278927730932	Ziganshina_2020	GERD
g__Anaeroglobus	group	GERD	-0.077217083469042	0.366507879086742	26	5	0.834912973392848	0.920986475804482	Ziganshina_2020	GERD
g__Metamycoplasma	group	GERD	0.133240052334449	0.59984347291372	26	11	0.826096144182927	0.920986475804482	Ziganshina_2020	GERD
g__Clostridiales..F1.G1.	group	GERD	0.0615888583851295	0.263024370143314	26	3	0.816849500142123	0.920986475804482	Ziganshina_2020	GERD
g__Odoribacteraceae..G3.	group	GERD	0.191448955612828	0.900580044059938	26	11	0.833446665428272	0.920986475804482	Ziganshina_2020	GERD
g__Hallella	group	GERD	0.157055356244895	0.618990338477868	26	15	0.801866524892329	0.920986475804482	Ziganshina_2020	GERD
g__Patescibacteria..C1.O1.F1.G2.	group	GERD	-0.162235795877718	0.878975118294841	26	9	0.855114110283707	0.924214240407643	Ziganshina_2020	GERD
g__Catonella	group	GERD	-0.0854663960827458	0.451796310801806	26	26	0.851550097965798	0.924214240407643	Ziganshina_2020	GERD
Unclassified_NA.4	group	GERD	-0.0642060806618879	0.683705397054151	26	12	0.925961064035894	0.984964622961551	Ziganshina_2020	GERD
g__Alloprevotella	group	GERD	0.0626143666166534	0.702653924224515	26	25	0.929732961860903	0.984964622961551	Ziganshina_2020	GERD
g__Abiotrophia	group	GERD	0.0527822224070962	0.737408376477488	26	18	0.943530890637679	0.989782404884624	Ziganshina_2020	GERD
Unclassified_NA	group	GERD	-0.023290799936898	0.684592608413615	26	9	0.973141459820225	0.991677487626324	Ziganshina_2020	GERD
g__Rothia	group	GERD	0.0170178284388033	0.462650747014933	26	26	0.970962024351426	0.991677487626324	Ziganshina_2020	GERD
g__Fretibacterium	group	GERD	0.0270082172882331	0.761035557602291	26	15	0.971983525359958	0.991677487626324	Ziganshina_2020	GERD
g__Shuttleworthia	group	GERD	-0.0137739650835095	0.684562243530416	26	11	0.98411332619325	0.993397414176205	Ziganshina_2020	GERD
g__Parvimonas	group	GERD	2.44409448812489e-5	1.02721619795851	26	22	0.999981212300752	0.999981212300752	Ziganshina_2020	GERD
g__Rothia	group	GERD	-1.29760425186791	0.364748307944902	60	60	7.5389590656386e-4	0.117607761423962	Qian_2023	GERD
g__Arachnia	group	GERD	-0.539282665247981	0.197906026655038	60	9	0.00848719126870819	0.662000918959239	Qian_2023	GERD
g__Absconditicoccaceae..G1.	group	GERD	1.68691054825913	0.671990286924949	60	56	0.0148734353983339	0.674841514224555	Qian_2023	GERD
g__Streptococcus	group	GERD	-0.532528670599529	0.237410395171564	60	60	0.0287274931295731	0.674841514224555	Qian_2023	GERD
g__Catonella	group	GERD	0.586496390347743	0.255873627385584	60	60	0.0255455346860385	0.674841514224555	Qian_2023	GERD
g__Campylobacter	group	GERD	1.0588392914054	0.459463682670767	60	59	0.0247938345064452	0.674841514224555	Qian_2023	GERD
g__Prevotella	group	GERD	0.561084255638625	0.252645122843674	60	60	0.0302813499972557	0.674841514224555	Qian_2023	GERD
g__Scardovia	group	GERD	-0.433526211896258	0.207422036585367	60	10	0.0410059698752306	0.799616412566997	Qian_2023	GERD
g__Mesorhizobium	group	GERD	0.562618142104204	0.283113795605625	60	9	0.0516239388335822	0.894814939782092	Qian_2023	GERD
g__Segatella	group	GERD	0.572778409983995	0.296676271247154	60	60	0.0584196088727293	0.911345898414578	Qian_2023	GERD
g__Arthrospira	group	GERD	0.30958484443441	0.178334826134007	60	7	0.0878781588769217	0.983409926458838	Qian_2023	GERD
g__Dialister	group	GERD	0.617505431995173	0.38443670527619	60	60	0.113648031933384	0.983409926458838	Qian_2023	GERD
g__Mitsuokella	group	GERD	1.17373618899561	0.702751778005661	60	44	0.100268475513716	0.983409926458838	Qian_2023	GERD
g__Bulleidia	group	GERD	-0.37838518972849	0.22170268260915801	60	9	0.0932226775555288	0.983409926458838	Qian_2023	GERD
g__Abiotrophia	group	GERD	-0.57139583359644	0.335454335773923	60	57	0.093856089668538	0.983409926458838	Qian_2023	GERD
