disease	feature	k	estimate	se	p	I2	padj
IBS-D	PWY-7208	2	0.07427740387426429	0.05314297483101885	0.16220618198356487	76.88672519559644	0.4882569922333569
IBS-D	PWY-6612	2	0.04732176491213174	0.03399178164425291	0.163876035034442	43.12575714750569	0.4883505844026372
IBS-D	PWY-5415	2	-0.9984838410907797	0.7203863051822398	0.16573485645859695	85.7493105801868	0.48899987351150387
IBS-D	HISDEG-PWY	2	0.21921409923030336	0.15894380574416433	0.16783542067473944	0	0.49034269961835636
IBS-D	PWY-7663	2	0.030258313412183463	0.02218888001905434	0.1726714018294938	0	0.4995735703416423
IBS-D	PWY0-1297	2	-0.1555393428635536	0.11453123106129857	0.17444725256293173	77.4037833963342	0.49985847368993896
IBS-D	NONMEVIPP-PWY	2	0.13151135345275217	0.09794869328488516	0.17938354463657527	87.43013984516116	0.504304682091504
IBS-D	PWY-7560	2	0.13151135345275217	0.09794869328488516	0.17938354463657527	87.43013984516116	0.504304682091504
IBS-D	PWY-7094	2	-1.365630733950541	1.0362134198899122	0.18753548829440966	76.19139856793475	0.5222950982405055
IBS-D	1CMET2-PWY	2	0.042983797259235526	0.03316710622370481	0.19498350833927988	14.571630820249807	0.5330741787624349
IBS-D	DTDPRHAMSYN-PWY	2	0.07693070861039598	0.05925100342418452	0.19415452299423214	36.76672217819539	0.5330741787624349
IBS-D	P42-PWY	2	0.1836921716837631	0.14529477839929858	0.2061322884487855	79.16363675970838	0.5484591246226614
IBS-D	PWY-5097	2	0.05422542116451989	0.0426419226826727	0.2034990020590352	47.79782410630513	0.5484591246226614
IBS-D	PWY-5659	2	0.0756766247238569	0.05981669021422293	0.20582032372053405	0	0.5484591246226614
IBS-D	PWY-5121	2	0.11595520371926764	0.09319817669213083	0.21343373251038505	79.34629401119919	0.5579232656850417
IBS-D	PWY-5347	2	0.06273330764170748	0.050216410733381796	0.21157032526680314	57.750753553745156	0.5579232656850417
IBS-D	ANAGLYCOLYSIS-PWY	2	0.03959444706281878	0.03223943755752505	0.21939553260823708	6.923826704311737	0.5685205975413448
IBS-D	SER-GLYSYN-PWY	2	0.0424877030160717	0.034881266065697136	0.2231986883539275	0	0.5733897338747448
IBS-D	P441-PWY	2	-0.15025324869294265	0.1274227099813596	0.23832982773031175	88.82228206559958	0.6070281082361786
IBS-D	PWY-6397	2	-0.7593098348688833	0.6482231335719985	0.2414496498610334	26.234925884695055	0.6097626750727793
IBS-D	PWY-5100	2	0.1555696776705274	0.13339427520795266	0.2435176116697404	65.3961341343744	0.6098172124166609
IBS-D	PWY0-1298	2	-0.10519513401700747	0.09155502048988878	0.25056311713222634	0	0.6222317408783621
