feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
PWY-5384	group	GERD	0.180646625235072	0.168899900349413	26	26	0.295462094592914	0.90197076167089	Ziganshina_2020	GERD
PWY-5415	group	GERD	-0.295005406877853	0.423586885601905	26	4	0.492840145946018	0.90197076167089	Ziganshina_2020	GERD
PWY-5417	group	GERD	-0.306281092018381	0.258171114859593	26	3	0.247096300430869	0.90197076167089	Ziganshina_2020	GERD
PWY-5419	group	GERD	-0.336604797749399	0.367546338689406	26	4	0.368874315010162	0.90197076167089	Ziganshina_2020	GERD
PWY-5420	group	GERD	-0.323901142840225	0.382981940642411	26	4	0.406054114314907	0.90197076167089	Ziganshina_2020	GERD
PWY-5430	group	GERD	-0.282370145500066	0.342229792660637	26	4	0.417446830413536	0.90197076167089	Ziganshina_2020	GERD
PWY-5431	group	GERD	-0.306281092018381	0.258171114859593	26	3	0.247096300430869	0.90197076167089	Ziganshina_2020	GERD
PWY-5505	group	GERD	0.174363188021651	0.165566047877579	26	26	0.302767670413009	0.90197076167089	Ziganshina_2020	GERD
PWY-5507	group	GERD	-0.252470898593538	0.321834025747848	26	3	0.44043603208903	0.90197076167089	Ziganshina_2020	GERD
PWY-5531	group	GERD	0.442145359434086	0.422458837333414	26	4	0.30571091523705	0.90197076167089	Ziganshina_2020	GERD
PWY-5647	group	GERD	-0.367451626534664	0.303626502998299	26	3	0.237983471849845	0.90197076167089	Ziganshina_2020	GERD
PWY-5651	group	GERD	-0.327517806335831	0.282262440987458	26	3	0.25732684545691	0.90197076167089	Ziganshina_2020	GERD
PWY-5654	group	GERD	-0.372166920565195	0.307414582787153	26	3	0.237823135306307	0.90197076167089	Ziganshina_2020	GERD
PWY-5655	group	GERD	-0.326252822614163	0.279372575134263	26	3	0.254356251242631	0.90197076167089	Ziganshina_2020	GERD
PWY-5667	group	GERD	-0.0483767263738296	0.0280075500317579	26	26	0.0969684042975026	0.90197076167089	Ziganshina_2020	GERD
PWY-5677	group	GERD	-0.414156037608644	0.342937258476714	26	26	0.238940050487914	0.90197076167089	Ziganshina_2020	GERD
PWY-5686	group	GERD	-0.014200594557344	0.0333582676312318	26	26	0.674120169754027	0.90197076167089	Ziganshina_2020	GERD
PWY-5695	group	GERD	0.0263518691682927	0.0440962649696432	26	26	0.555705002174865	0.90197076167089	Ziganshina_2020	GERD
PWY-5705	group	GERD	-0.632545333764906	0.632484433007032	26	25	0.327241239788399	0.90197076167089	Ziganshina_2020	GERD
PWY-5747	group	GERD	-0.575231539062378	0.785350736465057	26	26	0.470986143031195	0.90197076167089	Ziganshina_2020	GERD
PWY-5837	group	GERD	0.0992128094883285	0.134268604612466	26	26	0.467125452640528	0.90197076167089	Ziganshina_2020	GERD
PWY-5845	group	GERD	-0.63144730631458	1.05151884826338	26	17	0.553795601298316	0.90197076167089	Ziganshina_2020	GERD
PWY-5850	group	GERD	-0.63144730631458	1.05151884826338	26	17	0.553795601298316	0.90197076167089	Ziganshina_2020	GERD
PWY-5855	group	GERD	-0.363004203714421	0.546525475710297	26	26	0.512891314483737	0.90197076167089	Ziganshina_2020	GERD
PWY-5856	group	GERD	-0.363004203714421	0.546525475710297	26	26	0.512891314483737	0.90197076167089	Ziganshina_2020	GERD
PWY-5857	group	GERD	-0.363004203714421	0.546525475710297	26	26	0.512891314483737	0.90197076167089	Ziganshina_2020	GERD
PWY-5860	group	GERD	-0.642904990495453	1.06136730500972	26	17	0.550378323929016	0.90197076167089	Ziganshina_2020	GERD
PWY-5862	group	GERD	-0.642904990495453	1.06136730500972	26	17	0.550378323929016	0.90197076167089	Ziganshina_2020	GERD
PWY-5863	group	GERD	0.0946408362764143	0.128577914394158	26	26	0.468828880474826	0.90197076167089	Ziganshina_2020	GERD
PWY-5896	group	GERD	-0.63144730631458	1.05151884826338	26	17	0.553795601298316	0.90197076167089	Ziganshina_2020	GERD
PWY-5913	group	GERD	-0.0916886866393292	0.0995670669785089	26	26	0.366280844338845	0.90197076167089	Ziganshina_2020	GERD
PWY-5918	group	GERD	-0.0271362584484022	0.0418988654277467	26	26	0.523352074112736	0.90197076167089	Ziganshina_2020	GERD
PWY-5920	group	GERD	-0.569072066126958	0.691411569437657	26	26	0.41857830406203	0.90197076167089	Ziganshina_2020	GERD
PWY-5973	group	GERD	-0.0652491769744675	0.0233523549905329	26	26	0.0100657703009566	0.90197076167089	Ziganshina_2020	GERD
PWY-6121	group	GERD	-0.0118324511592362	0.0257887256009711	26	26	0.650489776022033	0.90197076167089	Ziganshina_2020	GERD
PWY-6122	group	GERD	-0.0130460122796783	0.0293408993959635	26	26	0.660566984379534	0.90197076167089	Ziganshina_2020	GERD
PWY-6125	group	GERD	0.020205643598451	0.0310263325173101	26	26	0.521077901152846	0.90197076167089	Ziganshina_2020	GERD
PWY-6126	group	GERD	-0.0266877531720285	0.0251692891119496	26	26	0.299549271854137	0.90197076167089	Ziganshina_2020	GERD
PWY-6143	group	GERD	-0.241365271211689	0.444354764136735	26	26	0.59201460141202	0.90197076167089	Ziganshina_2020	GERD
PWY-6147	group	GERD	-0.0315284399643744	0.0328365031748264	26	26	0.346546675659432	0.90197076167089	Ziganshina_2020	GERD
PWY-621	group	GERD	0.126569930374679	0.108829041958409	26	26	0.256256709894246	0.90197076167089	Ziganshina_2020	GERD
PWY-6210	group	GERD	-0.331714684967675	0.27545743603921	26	3	0.240242319729184	0.90197076167089	Ziganshina_2020	GERD
PWY-6263	group	GERD	0.267321172347055	0.406317070581067	26	26	0.516855666736015	0.90197076167089	Ziganshina_2020	GERD
PWY-6277	group	GERD	-0.0130460122796783	0.0293408993959635	26	26	0.660566984379534	0.90197076167089	Ziganshina_2020	GERD
PWY-6317	group	GERD	-0.0591073023354129	0.0705913559853125	26	26	0.410675558622833	0.90197076167089	Ziganshina_2020	GERD
PWY-6353	group	GERD	0.181667417114982	0.252863259527132	26	26	0.479421701396217	0.90197076167089	Ziganshina_2020	GERD
PWY-6383	group	GERD	0.198913856392632	0.241939373302989	26	26	0.419077134254096	0.90197076167089	Ziganshina_2020	GERD
PWY-6385	group	GERD	-0.0204881569528464	0.0241246871150892	26	26	0.40412813313683	0.90197076167089	Ziganshina_2020	GERD
PWY-6386	group	GERD	-0.0241986591696692	0.0243315195189567	26	26	0.329882364969736	0.90197076167089	Ziganshina_2020	GERD
PWY-6387	group	GERD	-0.0218157180774834	0.0244824043596902	26	26	0.381734161987177	0.90197076167089	Ziganshina_2020	GERD
PWY-6396	group	GERD	-0.251196588272049	0.321562364113384	26	26	0.44233743030707	0.90197076167089	Ziganshina_2020	GERD
