disease	feature	k	estimate	se	p	I2	padj
GERD	g__Kingella	4	0.16579695406655534	0.2619415047613651	0.5267636057514817	0	0.9813332193134957
GERD	g__Klebsiella	2	-0.224631885223814	0.5876247953497823	0.7022604044170113	53.44015041161008	0.9813332193134957
GERD	g__Lachnoanaerobaculum	4	0.3487028195005889	0.3628165117522583	0.33650206976699193	67.96793478073866	0.9813332193134957
GERD	g__Lachnoclostridium	2	0.1462903380146759	0.22390427744700142	0.5135235309007696	0	0.9813332193134957
GERD	g__Lactobacillus	4	0.14833825660631386	0.3498235983883655	0.671538605717662	0	0.9813332193134957
GERD	g__Lautropia	4	0.03917848023422217	0.2772160909893729	0.8876105899377574	0	0.9813332193134957
GERD	g__Leptotrichia	4	0.3059272302568494	0.36603818809477556	0.4032789359619245	63.89638686946041	0.9813332193134957
GERD	g__Methylobacterium.Methylorubrum	2	0.05081071999967672	0.1185631581853324	0.6682478011972599	0	0.9813332193134957
GERD	g__Mobiluncus	2	0.3460682303615547	0.5233120956203678	0.5084175626652854	56.8906899057947	0.9813332193134957
GERD	g__Mogibacterium	4	-0.15871998846393623	0.3994811488463867	0.6911349367450528	54.01702264811425	0.9813332193134957
GERD	g__Mycoplasma	4	-0.08366526276847405	0.24586428610408642	0.7336378260226966	0	0.9813332193134957
GERD	g__Olsenella	2	-0.0814686138953236	0.24633706531626207	0.740855933546393	0	0.9813332193134957
GERD	g__Parasutterella	2	-0.2523921314154589	0.2506082360957225	0.31387794585327466	0	0.9813332193134957
GERD	g__Parvimonas	4	0.03644181098020955	0.3026994686406632	0.9041746785617638	0	0.9813332193134957
GERD	g__Peptococcus	4	-0.13045859117220548	0.199118986845694	0.5123524729400487	0	0.9813332193134957
GERD	g__Phocaeicola	3	-0.14779813889048637	0.14903470708614877	0.32134251634670447	0	0.9813332193134957
GERD	g__Prevotellaceae_UCG.001	2	0.050117145732203716	0.21207912867602477	0.8131894685765806	0	0.9813332193134957
GERD	g__Pseudomonas	3	0.11250675090834591	0.15473395875181767	0.46716592793680356	0	0.9813332193134957
